time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-26 00:00:00+00:00,20,11,47,25
2026-06-27 00:00:00+00:00,17,8,22,13
2026-06-28 00:00:00+00:00,18,8,23,13
2026-06-29 00:00:00+00:00,11,6,48,27
2026-06-30 00:00:00+00:00,18,9,68,38
2026-07-01 00:00:00+00:00,20,10,84,37
2026-07-02 00:00:00+00:00,15,7,39,19
2026-07-03 00:00:00+00:00,9,4,76,34
2026-07-04 00:00:00+00:00,16,7,33,10
2026-07-05 00:00:00+00:00,11,6,38,12
2026-07-06 00:00:00+00:00,32,12,53,30
2026-07-07 00:00:00+00:00,22,8,41,28
2026-07-08 00:00:00+00:00,18,7,52,31
2026-07-09 00:00:00+00:00,12,6,77,26
