referrer,views_total,views_unique
Google,231,103
vmware.github.io,167,39
github.com,39,24
Bing,7,5
youtube.com,5,2
DuckDuckGo,2,2
linkedin.com,2,1
statics.teams.cdn.office.net,2,1
github-vcf.devops.broadcom.net,1,1
