referrer,views_total,views_unique
Google,247,126
vmware.github.io,148,39
github.com,75,18
Bing,19,12
teams.public.onecdn.static.microsoft,11,9
blogs.vmware.com,10,4
github-vcf.devops.broadcom.net,9,1
confluence.int.abnamro.com,8,2
DuckDuckGo,6,2
youtube.com,5,1
