referrer,views_total,views_unique
vmware.github.io,210,57
Google,137,73
github.com,133,27
Bing,45,17
statics.teams.cdn.office.net,3,2
DuckDuckGo,2,2
youtube.com,2,2
blogs.vmware.com,2,1
github-com.translate.goog,2,1
static.rainfocus.com,1,1
