time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,22,19,124,40
2026-09-10 00:00:00+00:00,18,12,104,44
2026-09-11 00:00:00+00:00,5,5,68,31
2026-09-12 00:00:00+00:00,22,14,41,17
2026-09-13 00:00:00+00:00,13,7,29,16
2026-09-14 00:00:00+00:00,6,6,94,36
2026-09-15 00:00:00+00:00,33,18,100,44
2026-09-16 00:00:00+00:00,20,12,95,36
2026-09-17 00:00:00+00:00,2,2,116,34
2026-09-18 00:00:00+00:00,18,11,71,33
2026-09-19 00:00:00+00:00,5,5,33,14
2026-09-20 00:00:00+00:00,3,3,37,15
2026-09-21 00:00:00+00:00,21,11,76,26
2026-09-22 00:00:00+00:00,18,10,61,32
