time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,16,8,31,19
2026-06-09 00:00:00+00:00,36,18,62,31
2026-06-10 00:00:00+00:00,32,15,63,26
2026-06-11 00:00:00+00:00,32,14,44,25
2026-06-12 00:00:00+00:00,19,6,39,30
2026-06-13 00:00:00+00:00,40,13,36,18
2026-06-14 00:00:00+00:00,39,13,23,10
2026-06-15 00:00:00+00:00,17,5,41,21
2026-06-16 00:00:00+00:00,46,14,25,13
2026-06-17 00:00:00+00:00,17,7,77,28
2026-06-18 00:00:00+00:00,131,45,78,32
2026-06-19 00:00:00+00:00,56,20,61,24
2026-06-20 00:00:00+00:00,66,19,33,15
2026-06-21 00:00:00+00:00,49,16,14,9
