referrer,views_total,views_unique
vmware.github.io,213,60
github.com,133,28
Google,124,70
Bing,44,16
statics.teams.cdn.office.net,3,2
DuckDuckGo,2,2
youtube.com,2,2
blogs.vmware.com,2,1
github-com.translate.goog,2,1
search.brave.com,2,1
