referrer,views_total,views_unique
vmware.github.io,217,53
Google,140,78
github.com,109,26
Bing,46,18
youtube.com,4,4
DuckDuckGo,3,2
statics.teams.cdn.office.net,3,2
blogs.vmware.com,2,1
github-com.translate.goog,2,1
kagi.com,1,1
