time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,18,7,52,31
2026-07-09 00:00:00+00:00,12,6,77,26
2026-07-10 00:00:00+00:00,3,3,83,21
2026-07-11 00:00:00+00:00,18,9,10,9
2026-07-12 00:00:00+00:00,15,6,45,10
2026-07-13 00:00:00+00:00,11,5,36,25
2026-07-14 00:00:00+00:00,29,11,41,24
2026-07-15 00:00:00+00:00,19,9,21,17
2026-07-16 00:00:00+00:00,758,139,106,20
2026-07-17 00:00:00+00:00,194,62,102,22
2026-07-18 00:00:00+00:00,13,8,13,6
2026-07-19 00:00:00+00:00,5,3,12,10
2026-07-20 00:00:00+00:00,25,11,58,16
2026-07-21 00:00:00+00:00,9,4,43,21
