referrer,views_total,views_unique
Google,388,179
vmware.github.io,162,44
Bing,41,14
github.com,39,23
DuckDuckGo,9,3
teams.public.onecdn.static.microsoft,7,4
blogs.vmware.com,6,3
search.lilo.org,6,1
community.broadcom.com,4,3
chatgpt.com,2,2
