referrer,views_total,views_unique
vmware.github.io,256,43
Google,225,103
github.com,29,19
Bing,10,8
linkedin.com,2,1
statics.teams.cdn.office.net,2,1
youtube.com,2,1
DuckDuckGo,1,1
