referrer,views_total,views_unique
Google,301,155
vmware.github.io,128,54
github.com,57,30
Bing,25,13
chatgpt.com,8,7
blogs.vmware.com,3,2
DuckDuckGo,2,2
community.broadcom.com,2,2
search.brave.com,2,2
teams.public.onecdn.static.microsoft,2,2
