referrer,views_total,views_unique
Google,192,119
vmware.github.io,146,51
community.broadcom.com,49,24
github.com,35,20
Bing,22,11
statics.teams.cdn.office.net,8,3
youtube.com,7,2
DuckDuckGo,1,1
ecosia.org,1,1
licensecounter.jp,1,1
