time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,13,6,82,28
2026-05-29 00:00:00+00:00,25,10,105,26
2026-05-30 00:00:00+00:00,28,11,30,14
2026-05-31 00:00:00+00:00,35,9,28,10
2026-06-01 00:00:00+00:00,26,11,32,25
2026-06-02 00:00:00+00:00,30,15,52,22
2026-06-03 00:00:00+00:00,34,15,32,17
2026-06-04 00:00:00+00:00,25,9,33,21
2026-06-05 00:00:00+00:00,20,9,48,28
2026-06-06 00:00:00+00:00,39,15,27,11
2026-06-07 00:00:00+00:00,33,14,17,11
2026-06-08 00:00:00+00:00,16,8,31,19
2026-06-09 00:00:00+00:00,36,18,62,31
2026-06-10 00:00:00+00:00,32,15,63,26
