referrer,views_total,views_unique
vmware.github.io,246,42
Google,232,106
github.com,35,22
Bing,7,5
DuckDuckGo,2,2
linkedin.com,2,1
statics.teams.cdn.office.net,2,1
github-vcf.devops.broadcom.net,1,1
youtube.com,1,1
