time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,30,15,52,22
2026-06-03 00:00:00+00:00,34,15,32,17
2026-06-04 00:00:00+00:00,25,9,33,21
2026-06-05 00:00:00+00:00,20,9,48,28
2026-06-06 00:00:00+00:00,39,15,27,11
2026-06-07 00:00:00+00:00,33,14,17,11
2026-06-08 00:00:00+00:00,16,8,31,19
2026-06-09 00:00:00+00:00,36,18,62,31
2026-06-10 00:00:00+00:00,32,15,63,26
2026-06-11 00:00:00+00:00,32,14,44,25
2026-06-12 00:00:00+00:00,19,6,39,30
2026-06-13 00:00:00+00:00,40,13,36,18
2026-06-14 00:00:00+00:00,39,13,23,10
2026-06-15 00:00:00+00:00,17,5,41,21
