referrer,views_total,views_unique
Google,280,164
vmware.github.io,141,43
github.com,70,17
Bing,29,14
teams.public.onecdn.static.microsoft,13,8
github-vcf.devops.broadcom.net,9,1
DuckDuckGo,6,2
search.brave.com,3,1
blogs.vmware.com,2,2
chatgpt.com,2,2
