time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,27,12,32,13
2026-05-24 00:00:00+00:00,16,11,39,18
2026-05-25 00:00:00+00:00,21,10,49,38
2026-05-26 00:00:00+00:00,14,5,65,33
2026-05-27 00:00:00+00:00,21,11,61,31
2026-05-28 00:00:00+00:00,13,6,82,28
2026-05-29 00:00:00+00:00,25,10,105,26
2026-05-30 00:00:00+00:00,28,11,30,14
2026-05-31 00:00:00+00:00,35,9,28,10
2026-06-01 00:00:00+00:00,26,11,32,25
2026-06-02 00:00:00+00:00,30,15,52,22
2026-06-03 00:00:00+00:00,34,15,32,17
2026-06-04 00:00:00+00:00,25,9,33,21
2026-06-05 00:00:00+00:00,20,9,48,28
