referrer,views_total,views_unique
vmware.github.io,246,66
github.com,86,23
Google,61,31
Bing,24,14
DuckDuckGo,5,2
statics.teams.cdn.office.net,3,2
youtube.com,2,2
search.brave.com,2,1
