time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,6,5,77,36
2026-07-30 00:00:00+00:00,51,15,75,37
2026-07-31 00:00:00+00:00,17,9,41,22
2026-08-01 00:00:00+00:00,9,4,19,7
2026-08-02 00:00:00+00:00,1,1,12,6
2026-08-03 00:00:00+00:00,13,9,65,37
2026-08-04 00:00:00+00:00,11,6,61,38
2026-08-05 00:00:00+00:00,13,6,67,32
2026-08-06 00:00:00+00:00,18,7,83,33
2026-08-07 00:00:00+00:00,34,14,112,34
2026-08-08 00:00:00+00:00,4,4,7,6
2026-08-09 00:00:00+00:00,11,6,11,9
2026-08-10 00:00:00+00:00,9,5,78,34
2026-08-11 00:00:00+00:00,5,4,109,34
