referrer,views_total,views_unique
Google,381,181
vmware.github.io,155,48
github.com,47,24
Bing,28,15
community.broadcom.com,8,4
teams.public.onecdn.static.microsoft,6,4
chatgpt.com,6,2
search.lilo.org,6,1
DuckDuckGo,2,2
Yahoo,1,1
