time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,7,3,45,35
2026-08-26 00:00:00+00:00,13,8,53,31
2026-08-27 00:00:00+00:00,20,12,75,32
2026-08-28 00:00:00+00:00,16,16,67,28
2026-08-29 00:00:00+00:00,26,20,33,14
2026-08-30 00:00:00+00:00,25,9,17,7
2026-08-31 00:00:00+00:00,746,269,40,25
2026-09-01 00:00:00+00:00,6,5,64,40
2026-09-02 00:00:00+00:00,31,7,122,37
2026-09-03 00:00:00+00:00,24,10,90,38
2026-09-04 00:00:00+00:00,9,6,122,48
2026-09-05 00:00:00+00:00,6,5,56,11
2026-09-06 00:00:00+00:00,6,4,36,12
2026-09-07 00:00:00+00:00,7,5,76,26
