time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,32,14,44,25
2026-06-12 00:00:00+00:00,19,6,39,30
2026-06-13 00:00:00+00:00,40,13,36,18
2026-06-14 00:00:00+00:00,39,13,23,10
2026-06-15 00:00:00+00:00,17,5,41,21
2026-06-16 00:00:00+00:00,46,14,25,13
2026-06-17 00:00:00+00:00,17,7,77,28
2026-06-18 00:00:00+00:00,131,45,78,32
2026-06-19 00:00:00+00:00,56,20,61,24
2026-06-20 00:00:00+00:00,66,19,33,15
2026-06-21 00:00:00+00:00,49,16,14,9
2026-06-22 00:00:00+00:00,39,10,86,39
2026-06-23 00:00:00+00:00,53,15,73,38
2026-06-24 00:00:00+00:00,63,19,65,32
