time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,10,5,20,7
2026-08-17 00:00:00+00:00,16,7,39,23
2026-08-18 00:00:00+00:00,5,5,107,39
2026-08-19 00:00:00+00:00,6,5,74,38
2026-08-20 00:00:00+00:00,12,7,95,40
2026-08-21 00:00:00+00:00,24,11,71,34
2026-08-22 00:00:00+00:00,11,5,15,10
2026-08-23 00:00:00+00:00,1,1,29,11
2026-08-24 00:00:00+00:00,5,4,62,38
2026-08-25 00:00:00+00:00,7,3,45,35
2026-08-26 00:00:00+00:00,13,8,53,31
2026-08-27 00:00:00+00:00,20,12,75,32
2026-08-28 00:00:00+00:00,16,16,67,28
2026-08-29 00:00:00+00:00,26,20,33,14
