time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,21,10,13,12
2026-03-01 00:00:00+00:00,18,11,13,11
2026-03-02 00:00:00+00:00,18,14,43,17
2026-03-03 00:00:00+00:00,37,16,45,17
2026-03-04 00:00:00+00:00,29,14,23,15
2026-03-05 00:00:00+00:00,25,10,70,21
2026-03-06 00:00:00+00:00,26,11,95,30
2026-03-07 00:00:00+00:00,16,7,32,11
2026-03-08 00:00:00+00:00,7,3,18,15
2026-03-09 00:00:00+00:00,21,8,78,33
2026-03-10 00:00:00+00:00,16,8,76,26
2026-03-11 00:00:00+00:00,19,10,66,32
2026-03-12 00:00:00+00:00,18,6,129,25
2026-03-13 00:00:00+00:00,33,13,69,24
