referrer,views_total,views_unique
Google,200,111
vmware.github.io,154,59
community.broadcom.com,34,16
github.com,29,12
Bing,21,10
DuckDuckGo,2,2
web.arattai.in,2,2
search.brave.com,1,1
youtube.com,1,1
