time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-19 00:00:00+00:00,23,12,59,23
2026-05-20 00:00:00+00:00,15,5,62,31
2026-05-21 00:00:00+00:00,23,12,37,24
2026-05-22 00:00:00+00:00,25,9,59,34
2026-05-23 00:00:00+00:00,27,12,32,13
2026-05-24 00:00:00+00:00,16,11,39,18
2026-05-25 00:00:00+00:00,21,10,49,38
2026-05-26 00:00:00+00:00,14,5,65,33
2026-05-27 00:00:00+00:00,21,11,61,31
2026-05-28 00:00:00+00:00,13,6,82,28
2026-05-29 00:00:00+00:00,25,10,105,26
2026-05-30 00:00:00+00:00,28,11,30,14
2026-05-31 00:00:00+00:00,35,9,28,10
2026-06-01 00:00:00+00:00,26,11,32,25
