time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,18,9,68,38
2026-07-01 00:00:00+00:00,20,10,84,37
2026-07-02 00:00:00+00:00,15,7,39,19
2026-07-03 00:00:00+00:00,9,4,76,34
2026-07-04 00:00:00+00:00,16,7,33,10
2026-07-05 00:00:00+00:00,11,6,38,12
2026-07-06 00:00:00+00:00,32,12,53,30
2026-07-07 00:00:00+00:00,22,8,41,28
2026-07-08 00:00:00+00:00,18,7,52,31
2026-07-09 00:00:00+00:00,12,6,77,26
2026-07-10 00:00:00+00:00,3,3,83,21
2026-07-11 00:00:00+00:00,18,9,10,9
2026-07-12 00:00:00+00:00,15,6,45,10
2026-07-13 00:00:00+00:00,11,5,36,25
