referrer,views_total,views_unique
Google,200,116
vmware.github.io,181,50
github.com,42,23
Bing,15,10
DuckDuckGo,8,3
youtube.com,6,3
statics.teams.cdn.office.net,5,3
community.broadcom.com,4,4
github-vcf.devops.broadcom.net,1,1
