referrer,views_total,views_unique
Google,204,114
vmware.github.io,185,52
github.com,37,21
Bing,12,9
community.broadcom.com,10,7
DuckDuckGo,7,2
statics.teams.cdn.office.net,5,3
youtube.com,3,3
