referrer,views_total,views_unique
vmware.github.io,258,59
github.com,85,23
Google,31,20
Bing,22,14
DuckDuckGo,4,1
confluence.int.abnamro.com,3,1
search.brave.com,2,1
vmware-github-io.translate.goog,2,1
blogs.vmware.com,1,1
github-vcf.devops.broadcom.net,1,1
